CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Transported
0,0.6964281572673239,0,-0.3354753217630465,-0.2872085518362886,-0.2830236670317378,-0.27447550323078646,-0.26990870331595684,0,1,0,0,0,1,0
0,-0.33701828445067067,0,-0.1737322377949085,-0.28182824229085257,-0.24356752958093844,0.19910758369642975,-0.23081317355806938,1,0,0,0,0,1,1
0,2.0054603167767837,1,-0.2716684170783682,1.850567774216932,-0.2830236670317378,5.518075368747823,-0.22637049972194578,0,1,0,0,0,1,0
0,0.2830495805801261,0,-0.3354753217630465,0.479784464474193,0.30250541273812503,2.597215018409838,-0.09842149324158683,0,1,0,0,0,1,0
0,-0.8881897200336011,0,0.11414077403829125,-0.2453616998162311,-0.044708596828909535,0.21290964087463643,-0.2681316337815074,1,0,0,0,0,1,1
0,1.0409103045066554,0,-0.3354753217630465,0.001534727102107853,-0.2830236670317378,-0.02345058830215272,-0.26990870331595684,1,0,0,0,1,0,1
0,-0.19922542555493805,0,-0.27315229858266304,0.6328243804332603,-0.27828893053764187,-0.27447550323078646,-0.26990870331595684,1,0,0,0,0,1,1
0,0.4208424394758587,0,-0.3354753217630465,0.18207400296006998,-0.2561934935651942,-0.08814773132499647,-0.26990870331595684,1,0,0,0,0,1,1
1,-1.0259825789293338,0,-0.3354753217630465,-0.2872085518362886,-0.2830236670317378,-0.27447550323078646,-0.26990870331595684,0,1,0,1,0,0,1
0,1.1098067339545217,0,-0.2776039430955476,4.073831240825413,0.6465629313090957,-0.17958636013061563,-0.15973039218009216,0,1,0,1,0,0,1
0,0.21415315113225977,0,-0.22715197194952289,-0.2872085518362886,1.4893460272581707,-0.27447550323078646,-0.16950427461956402,0,0,1,0,0,1,1
0,1.3164960222981206,0,0.7314354798249464,-0.28661073966457346,-0.1804377096596594,-0.27447550323078646,-0.24858386890256368,1,0,0,0,0,1,0
0,-0.061432566659205434,0,-0.3236042697286877,0.29506050341422513,-0.26408472105535413,-0.2727502460835106,-0.2636889599453838,1,0,0,0,0,1,1
0,0.14525672168439346,0,-0.2879911136256115,-0.2872085518362886,1.0995193892442727,-0.27447550323078646,-0.26990870331595684,1,0,0,0,0,1,0
0,-0.33701828445067067,0,-0.3354753217630465,-0.28661073966457346,-0.2830236670317378,-0.27447550323078646,0.29608794340618666,1,0,0,1,0,0,0
1,1.1098067339545217,0,-0.3354753217630465,-0.2872085518362886,-0.2830236670317378,-0.27447550323078646,-0.26990870331595684,0,0,1,0,0,1,1
0,-1.9905325911994618,0,-0.3354753217630465,-0.2872085518362886,-0.2830236670317378,-0.27447550323078646,-0.26990870331595684,1,0,0,0,0,1,1
0,-1.0259825789293338,0,0.27588385800642923,-0.2872085518362886,-0.28144542153370583,-0.27447550323078646,0.3334064036296247,1,0,0,1,0,0,0
1,-1.9216361617515956,0,-0.3354753217630465,-0.2872085518362886,-0.2830236670317378,-0.27447550323078646,-0.26990870331595684,1,0,0,0,0,1,0
1,1.3853924517459868,0,-0.3354753217630465,-0.2872085518362886,-0.2830236670317378,-0.27447550323078646,-0.26990870331595684,1,0,0,1,0,0,0
0,-1.3015682967207989,0,-0.3354753217630465,-0.2872085518362886,-0.2830236670317378,-0.27447550323078646,-0.26990870331595684,1,0,0,0,0,1,1
0,-1.5082575850643978,0,-0.3354753217630465,-0.2872085518362886,-0.2830236670317378,-0.27447550323078646,-0.26990870331595684,1,0,0,0,0,1,0
